F.W. Murnau	9076	3	
Ryszard Bugajski	83319	11	
Andrew Stanton	7	92	
Andr� �vredal	135113	24	
Jacques Tati	5763	14	
Gavin Hood	13079	30	
George Miller	20629	106	
Walter Murch	154	39	
Darren Aronofsky	6431	106	
Sammo Hung	62410	25	
Spike Jonze	5953	142	
Mike Leigh	65452	160	
Garry Marshall	1201	25	
Sam Mendes	39	61	
Guy Ritchie	956	17	
Jon Turteltaub	12962	2	
Satyajit Ray	12160	55	
Eric Rohmer	28615	47	
Stanley Kramer	4081	50	
Paul McGuigan	2291	18	
Alain Corneau	35927	19	
Tony Gilroy	19242	36	
Tsui Hark	26760	42	
Jennifer Abbott	69360	9	
J.J. Abrams	15344	63	
Hany Abu-Assad	357	39	
Maren Ade	40476	58	
Alexandre Aja	59291	13	
Tomas Alfredson	74396	64	
Alejandro Amen�bar	19840	77	
Brad Anderson	37948	16	
Michael Anderson	20412	12	
Wes Anderson	5655	171	
Roy Andersson	45791	39	
Judd Apatow	41039	43	
Shinji Aramaki	70100	2	
Miguel Arteta	61069	17	
Ray Ashley	1072336	5	
David Ayer	19769	5	
Lloyd Bacon	21305	3	
jaume balaguero	54525	50	
Carroll Ballard	68212	4	
Christophe Barratier	43993	19	
Joy Batchelor	70709	0	
Xavier Beauvois	72320	36	
Jacques Becker	103393	11	
Wolfgang Becker	35673	1	
Greg Beeman	17309	5	
Timur Bekmambetov	23430	16	
Clara Bellar	27637	0	
Malik Bendjelloul	930708	39	
Emmanuelle Bercot	25340	19	
Pablo Berger	95528	38	
Sanjay Leela Bhansali	42804	41	
Halina Bielinska	1138280	1	
Fabi�n Bielinsky	74907	21	
Susanne Bier	1011	72	
Enki Bilal	44070	1	
Brad Bird	7087	54	
Neill Blomkamp	82194	37	
Bertrand Bonello	146438	24	
Joon-ho Bong	21684	87	
Frank Borzage	14855	7	
Emmanuel Bourdieu	56587	11	
Serge Bourguignon	605481	3	
David Breashears	86557	1	
St�phane Briz�	7288	25	
Charlie Brooker	211845	20	
Clarence Brown	84034	8	
Tod Browning	1496	2	
Charles Burnett	97755	19	
Mario Camerini	70298	10	
Martin Campbell	10702	5	
Marcel Camus	232669	3	
Laurent Cantet	17386	56	
Nae Caranfil	55520	14	
Leos Carax	27977	41	
Marcel Carn�	25161	18	
Nick Castle	14692	6	
Alain Cavalier	26182	25	
Nuri Bilge Ceylan	56214	119	
Alain Chabat	4275	7	
Don Chaffey	25558	1	
Benny Chan	70109	8	
Gordon Chan	64901	13	
Teddy Chan	70703	9	
Cheh Chang	99436	1	
Charles Chaplin	116748	0	
Larry Charles	6767	24	
Etienne Chatiliez	20849	7	
Siu-Tung Ching	67259	33	
Felix Chong	66719	21	
Benjamin Christensen	89674	0	
Christian-Jaque	48995	10	
Derek Cianfrance	139098	23	
Ren� Clair	33166	15	
Henri-Georges Clouzot	2559	16	
Ren� Cl�ment	9740	21	
Jean Cocteau	9730	5	
Taika Waititi	55934	75	
Philippe collin 	25954	1	
Henri Colpi	612897	7	
Luigi Comencini	119430	28	
G�rard Corbiau	67794	5	
Anton Corbijn	45052	31	
Sergio Corbucci	49450	1	
Don Coscarelli	58245	19	
Alex Cox	31493	0	
Eli Craig	52479	8	
Patrick Creadon	116330	3	
Brandon Cronenberg	1081445	7	
Alan Crosland	14281	0	
Alfonso Cuar�n	11218	153	
Andrew Currie	64754	15	
Richard Curtis	7018	52	
Olivier Dahan	16919	11	
Stephen Daldry	468	76	
Anca Damian	1126318	36	
Georgi Daneliya	98835	25	
Jean-Pierre Dardenne	56209	104	
Terence Davies	93911	50	
Manoel de Oliveira	81749	87	
Vittorio De Seta	1090660	14	
Basil Dearden & co	29504	7	
James Dearden	67752	9	
Dean DeBlois	69797	28	
Jacques Demy & Agn�s Varda	24882	15	
Raymond Depardon	56836	20	
Brian Desmond Hurst	261224	0	
Arnaud Desplechin	38883	44	
Claire Devers	228336	9	
Michel Deville	39243	28	
Yi'nan Diao	123552	22	
Thorold Dickinson	253716	3	
William Dieterle	49214	6	
David Dobkin	42994	1	
Jacques Doillon	118020	40	
Xavier Dolan	143593	125	
Andrew Dominik	37618	17	
Val�rie Donzelli	19937	21	
Jaco Van Dormael	107490	33	
Aleksandr Dovzhenko	141713	4	
John Erick Dowdle	77147	3	
Jacques Drouin	1100019	8	
Anselmo Duarte	1023462	10	
Germaine Dulac	997694	0	
George Dunning	71253	6	
Guru Dutt	125354	2	
Julien Duvivier	39058	13	
Harry Edwards	1157634	0	
Jonathan English	83730	0	
V�ctor Erice	37833	25	
Jean Eustache	53914	7	
Jon Favreau	15277	14	
Pascale Ferran	32501	19	
Marco Ferreri	34264	40	
Emmanuel Finkiel	1081484	14	
Terence Fisher	29662	1	
Robert J. Flaherty	10092	7	
Richard Fleischer	2087	12	
Ruben Fleischer	91268	1	
Victor Fleming	9049	5	
Ari Folman	56198	58	
Ebrahim Forouzesh	1209349	10	
Marc Forster	12995	20	
Georges Franju	37302	2	
Keith Fulton	74647	10	
Antoine Fuqua	20907	11	
Jorge Furtado	102561	40	
Abel Gance	29720	10	
Alex Garland	2036	65	
Tay Garnett	74878	4	
Armand Gatti	1309745	3	
David Gelb	928915	9	
Denis Gheerbrant	1359844	1	
Alex Gibney	71797	75	
Dan Gilroy	57113	33	
Marco Tullio Giordana	70235	58	
Amos Gitai	20024	48	
Tudor Giurgiu	1030521	24	
Jonathan Glazer	66728	35	
Michel Gondry	201	64	
Alejandro Gonz�lez I��rritu	223	220	
Hideo Gosha	125085	6	
Patric Grandperret	54358	2	
Debra Granik	121873	76	
James Gray	20561	23	
William Greaves	131468	3	
Paul Greengrass	25598	89	
Jean Gremillon	238377	2	
John Guillermin	6778	5	
Sacha Guitry	148082	3	
James Gunn	15218	22	
Hanno H�fer	122777	8	
Robert Hamer	70864	3	
Michael Haneke	6011	159	
Mia Hansen-L�ve	222686	27	
Catherine Hardwicke	19850	19	
Herk Harvey	79294	0	
Wojciech Has	27002	8	
Michel Hazanavicius	67717	93	
Stephen Herek	18356	9	
Herg�	117892	0	
Don Hertzfeldt	109314	173	
Juraj Herz	83998	23	
Peter Hewitt	18357	2	
Oliver Hirschbiegel	7832	36	
Mike Hodge	142261	0	
P.J. Hogan	3045	7	
Sang-soo Hong	150975	82	
Christophe Honor�	76910	12	
Tom Hooper	70500	78	
Hsiao-Hsien Hou	64992	89	
Ellen Hovde	1002594	7	
