2710,19995,150.437576294,,2009,
1704,285,139.082611084,661000000,2007,961000000
39,206647,107.376785278,635674609,2015,880674609
525,49026,112.312950134,834939099,2012,1084939099
7,49529,43.926994324,24139100,2012,284139100
7623,559,115.699813843,632871626,2007,890871626
76595,38757,48.681968689,331794936,2010,591794936
12891,99861,134.279235840,1125403694,2015,1405403694
11343,767,98.885635376,683959197,2009,933959197
15217,209112,155.790451050,623260194,2016,873260194
9032,1452,57.925624847,121081192,2006,391081192
12995,10764,107.928810120,386090727,2008,586090727
1704,58,145.847381592,865659812,2006,1065659812
1704,57201,49.046955109,-165710090,2013,89289910
15217,49521,99.398010254,437845518,2013,662845518
5524,2454,53.978603363,194651413,2008,419651413
12891,24428,144.448638916,1299557910,2012,1519557910
17633,1865,135.413848877,665713802,2011,1045713802
5174,41154,52.035179138,399026776,2012,624026776
108,122917,120.965744019,706019788,2014,956019788
87742,1930,89.866279602,537215857,2012,752215857
578,20662,37.668300629,110669540,2010,310669540
108,57158,94.370567322,708400000,2013,958400000
3288,2268,42.990905762,192234864,2007,372234864
108,254,61.226009369,343000000,2005,550000000
2710,597,100.025901794,1645034188,1997,1845034188
19271,271110,198.372390747,903304495,2016,1153304495
36602,44833,64.928382874,94025485,2012,303025485
39,37724,93.004989624,908561013,2012,1108561013
7623,558,35.149585724,583766341,2004,783766341
1108,68721,77.682083130,1015439994,2013,1215439994
510,12155,78.530105591,825491110,2010,1025491110
11091,36668,3.857526064,249359555,2006,459359555
225976,62211,89.186492920,543559607,2013,743559607
865,8373,21.939662933,686297228,2009,836297228
865,91314,116.840293884,881405097,2014,1091405097
7623,68728,46.985443115,291868548,2013,491868548
87742,102382,89.270217896,505717432,2014,705717432
86270,20526,73.795051575,230062763,2010,400062763
7879,49013,49.986591339,359852396,2011,559852396
10702,44912,51.872840881,19851172,2011,219851172
8,10193,59.995418549,866969703,2010,1066969703
36425,534,71.862892151,171353001,2009,371353001
2127,168259,102.322219849,1316249360,2015,1506249360
12995,72190,81.834854126,331865000,2013,531865000
9032,127585,118.078689575,497862775,2014,747862775
15344,54138,78.291015625,277365246,2013,467365246
9032,81005,43.349853516,2687603,2013,197687603
6201,64682,61.196071625,246040419,2013,351040419
10723,9543,62.169879913,185154643,2010,335154643
10828,68726,56.523204803,227602906,2013,407602906
865,38356,28.529607773,928746996,2011,1123746996
488,217,75.674461365,601636033,2008,786636033
21198,105864,51.692951202,156926147,2015,331926147
59803,62177,125.114372253,353983207,2012,538983207
58189,188927,65.352912903,158471816,2016,343471816
7,10681,66.390708923,341311860,2008,521311860
11091,5174,22.571779251,118022233,2007,258022233
6046,14161,45.274223328,569653595,2009,769653595
24,17979,39.744243622,125233863,2009,325233863
9339,76757,85.369079590,7987720,2015,183987723
11343,258489,42.741718292,176743061,2016,356743061
5524,411,67.391326904,568806957,2005,748806957
9032,246655,139.272048950,365934787,2016,543934787
525,155,187.322921753,819558444,2008,1004558444
12890,14160,92.201965332,560099082,2009,735099082
12080,15512,36.167579651,206509870,2009,381509870
15277,1726,120.725051880,445174222,2008,585174222
