"65,731,102,058,691"	2710	"28,12,14,878"	19995	7.2
"85,114,116"	1704	"12,14,28"	285	6.9
"121,529,878,427,319"	39	"28,12,80"	206647	6.3
"3895,3894,64"	525	"28,80,18,53"	49026	7.6
"60,900,210,442,206"	7	"28,12,878"	49529	6.1
"221,917,051,205"	7623	"14,28,12"	559	5.9
"16,855,251,769,899"	76595	"1,610,751"	38757	7.4
"103,745,683,223"	12891	"28,12,878"	99861	7.3
"109,801,099,010,989"	11343	"12,14,10751"	767	7.4
"7,396,890,633,880"	15217	"28,12,14"	209112	5.7
"1,979,751,717,271"	9032	"12,14,28,878"	1452	5.4
"1,818,287,848,789"	12995	"12,28,53,80"	10764	6.1
"116,85,114"	1704	"12,14,28"	58	7
"886,53807,85"	1704	"28,12,37"	57201	5.9
"739,683,359,273"	15217	"28,12,14,878"	49521	6.5
"5,528,552,925,130"	5524	"12,10751,14"	2454	6.3
"322,316,828,103"	12891	"878,28,12"	24428	7.4
"955,85,6972"	17633	"12,28,14"	1865	6.4
"2,888,168,512,176"	5174	"28,35,878"	41154	6.2
"3,031,513,277,060"	108	"28,12,14"	122917	7.1
"54,693,702,637,625"	87742	"28,12,14"	1930	6.5
"2,201,934,112"	578	"28,12"	20662	6.2
"7,060,132,730,315"	108	"12,14"	57158	7.6
"2,227,455,898,784"	3288	"12,14"	2268	5.8
"3,489,349,070,851"	108	"12,18,28"	254	6.6
"20,437,136,193"	2710	"18,10749,53"	597	7.5
"3,223,124,516,828"	19271	"12,28,878"	271110	7.1
"1,315,192,884,660,900"	36602	"53,28,12,878"	44833	5.5
"878,438,105,309"	39	"28,12,53"	37724	6.9
"221,917,051,205"	7623	"28,12,14"	558	6.7
"1,205,218,963,223"	1108	"28,12,878"	68721	6.8
"76070,85,1813"	510	"10751,14,12"	12155	6.4
"132,769,684,587"	11091	"12,28,878,53"	36668	6.3
"12,308,847,904"	225976	"1,610,751"	62211	7
"109,591,953,619,537"	865	"878,28,12"	8373	6
"7,090,132,402,283"	865	"878,28,12"	91314	5.8
"18,973,329,317,051"	7623	"14,12,10751"	68728	5.7
"1,345,469,337,625"	87742	"28,12,14"	102382	6.5
"9,828,593,151,229"	86270	"12,28,878"	20526	6.3
"389,515,897,887"	7879	"16,10751,12,35"	49013	5.8
"1,335,917,510,859"	10702	"12,28,53,878"	44912	5.1
"13726,31,12898"	8	"16,10751,35"	10193	7.6
"38,946,573,121,028"	36425	"28,878,53"	534	5.9
"81,671,891,812,835"	2127	28	168259	7.3
"2,871,027,850,175,820"	12995	"28,18,27,878,53"	72190	6.7
"5,530,172,886,968"	9032	"28,12,14,878"	127585	7.5
"17,306,869,162,064"	15344	"28,12,878"	54138	7.4
"3,292,733,573,061"	9032	"28,10751,14"	81005	5.5
"3,666,261,932,219"	6201	"1,810,749"	64682	7.3
"596,202,282,131"	10723	"12,14,28,10749"	9543	6.2
