Franz Peter Wirth	1959
S. Pierre Yameogo	2005,2005
Gabriel Axel	1987,1967,1967
Cristian Nemescu	2007,2007
Piero Tellini	1952
Yousry Nasrallah	2012
Jonathan Caouette	2004,2011,2004
Lucas Belvaux	2006
Tamaz Meliava	1964
Goran Paskaljević	1980
Roland Joffé	1986,1986
Guillermo del Toro	1993,2006,1993
Nanni Moretti	1994,1994,2015,2011,2006,2006,2004,2001,2001,1978,2015,1998
Billy Wilder	1946
Hideo Nakata	2010
Myroslav Slaboshpytskyi	2014,2014,2014,2014
Tran Anh Hung	1993,1993
Henri-Georges Clouzot	1949,1956,1953,1956
Koji Fukada	2016,2016
Rob Nilsson	1979
Julian Goldberger	2006
H. Bruce Humberstone	1946
Benito Alazraki	1955,1955
Lee Grant	1952
Marcell Iványi	1996
Emilio Fernández	1949,1953,1946
Frida Kempff	2010,2010
Terrence Malick	2011,1979,1979
Kristian Levring	2000
Masaki Kobayashi	1963,1965,1969,1965,1963
Sven Nykvist	1986
Denis Villeneuve	2008,2008,2015,1998,2009
Mani Shankar	2002
Marcela Said	2013,2017
Mike Leigh	1993,1996,1993,1996,2002,2010,2010,2014
Oliver Laxe	2010,2016,2010,2010
Chantal Akerman	2007,1999,2000
György Fehér	1998
José Luis Rugeles	2015
Karan Johar	2013
László Nemes	2015,2015,2015,2015,2015
Antonio Mendez Esparza	2012,2012
Patricia Mazuy	2000
René Féret	1977
Bodil Ipsen	1946
Daniel Mangrané	1952
Edward Yang	2000,2000,1994
Emmanuel Finkiel	1999
Maïwenn	2011,2011,2015
Narendra Suri	1959
Rajko Grlić	1978
Sana Na N'Hada	1994
Tim Burton	1995
Annemarie Jacir	2008,2008
Keigo Kimura	1955
Liv Ullmann	2000
Martin Ritt	1958,1983,1979,1979
Mimmo Calopresti	1996
Erik Løchen	1960
Curtis Hanson	1997
Cédric Louis	2006
Hiner Saleem	2005,2013
Jane Campion	1986,1989,1993,2009,2013
Patrice Chéreau	1998,1994,1983,1994
Peter Weir	1983
Tamas Fejer	1963
Shira Geffen	2014,2007,2007,2007,2007
Tony Krawitz	2005,2005
Alexander Kluge	1976
Erik Rosenlund	2007
Curzio Malaparte	1951
Fyzal Boulifa	2012,2015,2015
Gianni Amelio	1992,1992,1992
Lynne Ramsay	1996,1998,1998,1999,2002,2002,2011,2017,2017,1996
Zlatko Bourek	1965
François Ozon	2017,2013,2005,2003
Nicholas Hytner	1995
Timothy Reckart	2012
Emilie Verhamme	2012
Michel Piccoli	1980
Mihai Iacob	1961
Bernardo Bertolucci	1996,2011,1981
Chuck Jones	1966
Ezra Mir	1954
Francis Ford Coppola	1974,1967,1974,1979,1979,2009
Dániel Erdélyi	2008
Oliver Schmitz	2010,2010,2001
Albert Serra	2006,2006,2008
Erik Balling	1957
David Thewlis	1993
Joe Massot	1966
Zbigniew Rybczynski	1987
Ana Katz	2007
Augusto Genina	1954
Bennett Miller	2014,2014
Eric Khoo	2011,2008
João Pedro Rodrigues	2009,2005,2005
Faouzi Bensaïdi	2003,2000,2003,2003,2003
Kirsten Dunst	2011
Eduardo Sánchez	1999,1999,1999
Jack Cardiff	1960
Michel Khleifi	1987
Franco Prosperi	1962
Tommy Lee	2005,2014,2005
Álvaro Aponte Centeno	2012
Igor Kovalyov	1990
Bartabas	1993
Buzz Kulik	1972
Herbert Vesely	1962,1961,1961
Cam Archer	2010
Carlos Carrera	1994
Gilles Coulier	2010,2013
Otto Preminger	1970,1955,1962
Julio Médem	1996,1993,2012
Alexander Payne	2013,2002
