Bobby Farrelly	2003
Bobby Farrelly	2010
David Fincher	2017
David Fincher	2016
David Fincher	2015
David Fincher	2014
David Fincher	2013
David Fincher	2013
Joseph Sargent	2005
Joseph Sargent	2004
Joseph Sargent	1999
Joseph Sargent	1992
Joseph Sargent	1990
Joseph Sargent	1986
Joseph Sargent	1980
Joseph Sargent	1973
Joseph Sargent	1971
Kevin Costner	2012
Kevin Costner	2012
Terry Jones	2004
Robert Mulligan	1960
Barry Sonnenfeld	2008
Barry Sonnenfeld	1985
Edward Zwick	2002
Edward Zwick	1991
Edward Zwick	1990
Edward Zwick	1989
Edward Zwick	1988
Edward Zwick	1983
Edward Zwick	1983
Edward Zwick	1980
Mick Jackson	2010
Mick Jackson	2003
Mick Jackson	1995
Ivan Reitman	1996
Randal Kleiser	1978
Dennis Hopper	1991
Neil Jordan	2011
Bryan Singer	2009
Bryan Singer	2008
Bryan Singer	2007
Bryan Singer	2006
Bryan Singer	2013
George Roy Hill	1959
George Roy Hill	1958
George Roy Hill	1957
Robert Altman	1993
Robert Altman	1989
Volker Schlöndorff	1986
David Yates	2006
Jay Roach	2016
Jay Roach	2012
Jay Roach	2008
Joseph L. Mankiewicz	1965
Jane Campion	2013
Roger Spottiswoode	1994
John Cassavetes	1980
Jim Abrahams	1982
Willard Carroll	1988
Willard Carroll	2002
Willard Carroll	1999
Rob Bowman	1998
Rob Bowman	1997
Rob Bowman	1996
Rob Bowman	1995
Peter Yates	2005
John Badham	1975
John Badham	1971
John Lasseter	2011
John Lasseter	2010
Paul Michael Glaser	1985
Franklin J. Schaffner	1962
Franklin J. Schaffner	1956
Franklin J. Schaffner	1955
Norman Jewison	2002
Norman Jewison	2002
John Frankenheimer	2002
John Frankenheimer	1998
John Frankenheimer	1998
John Frankenheimer	1996
John Frankenheimer	1996
John Frankenheimer	1995
John Frankenheimer	1995
John Frankenheimer	1994
John Frankenheimer	1960
John Frankenheimer	1959
John Frankenheimer	1958
John Frankenheimer	1957
John Frankenheimer	1956
Stuart Rosenberg	1964
Stuart Rosenberg	1963
Dean Parisot	1990
Eric Darnell	2017
J.J. Abrams	2017
J.J. Abrams	2010
J.J. Abrams	2009
J.J. Abrams	2008
J.J. Abrams	2005
J.J. Abrams	2005
J.J. Abrams	2002
Mel Brooks	2015
Mel Brooks	2013
Mel Brooks	2012
Mel Brooks	1999
Mel Brooks	1998
Mel Brooks	1997
Mel Brooks	1967
Mel Brooks	1966
Mel Brooks	1958
Mel Brooks	1957
Mel Brooks	1956
Mel Brooks	2005
George Cukor	1975
James Bridges	1979
James Bridges	1964
William Friedkin	1998
Mark Pellington	1993
Bill Condon	2009
Robert De Niro	2017
Allen Coulter	2010
Allen Coulter	2008
Allen Coulter	2004
Allen Coulter	2001
Allen Coulter	2000
Allen Coulter	1999
Todd Robinson	1994
Todd Robinson	2003
Michael Lehmann	1996
Gábor Csupó	2003
Gábor Csupó	2002
Gábor Csupó	2001
Gábor Csupó	2000
Gábor Csupó	1999
Gábor Csupó	1997
Gábor Csupó	1996
Gábor Csupó	1995
Gábor Csupó	1994
Gábor Csupó	1992
Gábor Csupó	1991
Gábor Csupó	1990
Gábor Csupó	1990
Gábor Csupó	2004
Gábor Csupó	2003
Gábor Csupó	2001
Gábor Csupó	1995
Gábor Csupó	1994
Gábor Csupó	1993
Gábor Csupó	1992
Errol Morris	2002
Errol Morris	2015
Julie Taymor	1993
Todd Haynes	2011
Zana Briski	2006
Ralph Nelson	1961
Ralph Nelson	1957
Ron Underwood	1989
Michael Tolkin	1995
Fenton Bailey	2017
Fenton Bailey	2016
Fenton Bailey	2015
Fenton Bailey	2014
Fenton Bailey	2011
Fenton Bailey	2017
Fenton Bailey	2001
Fenton Bailey	2012
Fenton Bailey	2010
Guillermo del Toro	2017
Michael Moore	2001
Michael Moore	1999
Michael Moore	1996
Michael Moore	1995
Andy Tennant	2016
Andy Tennant	2015
Andy Tennant	2014
Donald Petrie	1987
Michael Pressman	1995
Michael Pressman	1994
Michael Pressman	1993
Michael Pressman	2005
Steve Barron	1998
Stuart Gillard	1976
Mike Judge	2017
Mike Judge	2016
Mike Judge	2015
Mike Judge	2014
Mike Judge	2008
Mike Judge	2002
Mike Judge	2001
Mike Judge	1999
Mike Judge	1998
Mike Judge	1997
Rob Marshall	2007
Rob Marshall	2000
Rob Marshall	2000
Rob Marshall	1998
Rob Marshall	1997
Agnieszka Holland	2010
Gregory Hoblit	1995
Gregory Hoblit	1994
Gregory Hoblit	1991
Gregory Hoblit	1989
Gregory Hoblit	1989
Gregory Hoblit	1988
Gregory Hoblit	1988
Gregory Hoblit	1987
Gregory Hoblit	1985
Gregory Hoblit	1984
Gregory Hoblit	1983
Gregory Hoblit	1982
Gregory Hoblit	1981
Shawn Levy	2017
Michelle MacLaren	2014
Michelle MacLaren	2013
Michelle MacLaren	2013
Michelle MacLaren	2012
Michelle MacLaren	2010
John Hay	2012
David Evans	2014
Brian Gibson	1991
Jon Avnet	2007
Jon Avnet	1985
Simon Wincer	1989
Paul Haggis	1988
Richard LaGravenese	2013
Richard LaGravenese	2004
Tom Gries	1977
Tom Gries	1975
Tom Gries	1974
Tom Gries	1972
Tom Gries	1964
Ted Post	1955
Steven Zaillian	2017
Steven Zaillian	2016
Jon Favreau	2005
Heidi Ewing	2015
Heidi Ewing	2007
Davis Guggenheim	2016
Lee H. Katzin	1985
Lee H. Katzin	1968
Anthony Russo	2004
Robert Montgomery	1952
Charles B. Pierce	1987
Paul Bogart	1996
Paul Bogart	1992
Paul Bogart	1987
Paul Bogart	1986
Paul Bogart	1979
Paul Bogart	1978
Paul Bogart	1977
Paul Bogart	1976
Paul Bogart	1972
Paul Bogart	1970
Paul Bogart	1969
Paul Bogart	1968
Paul Bogart	1967
Paul Bogart	1966
Paul Bogart	1965
Paul Bogart	1964
Bob Rafelson	1967
Jessica Yu	2006
Bille August	1993
John Korty	1986
John Korty	1979
John Korty	1979
John Korty	1976
John Korty	1974
Randa Haines	1984
Irvin Kershner	1977
Richard Marquand	1977
Michael Apted	2014
Michael Apted	2008
Adam Shankman	2010
Matthew Broderick	1994
Michael Cristofer	1998
Michael Cristofer	1981
Griffin Dunne	1996
Richard Greenberg	2013
George Sidney	1965
Brett Ratner	2017
Brett Ratner	2012
Brett Ratner	2016
Carl Franklin	2014
Mark Rydell	2002
Mark Rydell	1997
Uli Edel	2015
Cecilia Peck	2014
David Wain	2016
David Wain	2015
David Wain	2014
David Wain	2013
David Wain	2012
Daniel Sackheim	2007
Daniel Sackheim	1994
Daniel Sackheim	1992
Frank Oz	1981
Frank Oz	1980
Frank Oz	1979
Frank Oz	1978
Frank Oz	1977
Frank Oz	1979
Frank Oz	1976
Frank Oz	1974
Joshua Brand	2016
Joshua Brand	2015
Joshua Brand	1993
Joshua Brand	1992
Joshua Brand	1992
Joshua Brand	1991
Joshua Brand	1987
Joshua Brand	1987
Joshua Brand	1983
Phil Alden Robinson	2009
Phil Alden Robinson	2002
Roger Young	1981
Roger Young	1980
Michael Crichton	2001
Michael Crichton	2000
Michael Crichton	1999
