100	4911,18074,277,834,20,283686
1000950	90414
100138	78705
10017	29715,27191,27759
10018	826,39209
10020	17277
10021	5769
1003	2110,10353,94348,11687,8195,12096,9664,56715
1004	22617,925,9292
1004403	60463
10055	29262,666
100552	25983
10057	666
10059	666
100624	33155
100653	15765
1006731	329540
10068	667
1006864	76758
100700	11600
100701	11600
100703	11600
10073	667,12602
10074	681
10080	609
10083	609
1008479	74084
10086	10306
1008607	203833
100867	30128
1009255	85860,86304
1009256	85860
101	12245
1011102	15568
1011107	134597
10112	670
101187	47534
101250	18442
10127	954,14709,31117,1995,3116,14877,146227,9918,8489,11975,9798,9360,8326,13150
10132	15049,25208,50942
101330	19204
10134	1273
10135	104896,10065
101396	14631,36046
101400	68818
101416	207769
101433	208763
101490	28580
1014932	226857
101519	28665,41382
101521	28665
1016071	86331
1016073	86331
1016168	58431,295964,150689
10167	668
10168	668
10169	668
1017259	146631
1017347	157547,227156,242095,205584
101781	288927
101808	285743
101810	320146
10182	82631,19905,1389,924,956,15070
1018729	78705
1019	8883,36557,103663
10190	681
102	837
10205	38303,19995,8078,75638,8326,348,68924,9672,679,926,10833,1710,52067,77948,9092,25350,73935,8077
10210	16205
10215	704
1021684	285783
1021869	22796
10222	700,253,698,699,682,707,691
10223	253,16633
1022712	31246
1022885	16653
1023139	239678,252512,121986
1024412	77156
1026733	283708
10268	16351
1027457	322443
102760	42033
1027850	72190
102786	44639
102806	60463
1029403	321258
10297	2018,11170,3536,8676,6278,11374,17734,9919,6877,316152,157336,1645,50348,26748,152532,12149,686,13827,92591,7364,103731,77930,73567,42807
102977	29122
1029934	286565
103	24428,2100,10096,99861,198277,44754,1949,291805,21755,75656,11324,14295,55180,314365,39781,9007,10944,8338
103071	13909,18712
1031244	255266
1031246	76758
10341	682,45138
10342	700
1034681	157847,103731
1034704	97370
103554	37958
1036	103
10360	687
10361	2604
103616	43595
103680	29371
10369	692
1037	713,70829,3536,500,9678,29514,2142,755,203,11051,103
10370	692
103707	1705
10371	692
1037691	101179
