Directorid (bin),Directorname,Avg. Popularity
13899,Georg Wilhelm Pabst ,1.824183941
13927,Kurt Wimmer,30.230974197
13980,Vincente Minnelli,0.905219972
14392,Kathryn Bigelow,33.646354357
14520,John Sturges,35.061466217
14639,Mel Brooks,21.069747686
14674,George Cukor,20.786615372
14773,Don Siegel,26.356697083
14855,Frank Borzage,1.199450970
14911,Penny Marshall,13.530029655
14999,George A. Romero,15.282103266
15115,Stefan Ruzowitzky,5.683135231
15175,William Friedkin,17.651921431
15217,Zack Snyder,72.309095110
15218,James Gunn,170.210159938
15277,Jon Favreau,54.745064179
15344,J.J. Abrams,63.014019012
15361,Josef Rusnak,19.890428543
15378,Carol Reed,4.842675924
15488,Ken Loach,6.787967205
15775,Kevin Lima,19.557520390
15890,James Foley,9.293783665
16483,Sylvester Stallone,54.012957573
16513,John G. Avildsen,50.327326775
16544,Ted Kotcheff,63.071044922
16767,Aki Kaurism�ki,10.787322044
16848,Rob Zombie,15.872433662
16919,Olivier Dahan,10.958697319
16938,Renny Harlin,17.396114302
17016,Neil Jordan,12.001084954
17087,Michael Moore,9.521527270
17386,Laurent Cantet,13.437038422
17447,Terry Zwigoff,20.330835342
17520,C�dric Klapisch,7.222494602
17825,Shawn Levy,38.440657139
17867,Tom McCarthy,26.541067123
17883,David O. Russell,29.400484383
18209,Claude Miller,0.024186000
18254,Simon Wincer,9.834360361
18356,Stephen Herek,10.670252323
18357,Peter Hewitt,12.421560764
18533,Errol Morris,0.888985991
18854,Martin Ritt,4.113087416
18865,Louis Leterrier,48.284012159
18878,Rob Cohen,25.508295642
19069,Claude Chabrol,0.928815484
19242,Tony Gilroy,40.976059596
19271,Anthony Russo,73.195188940
19304,John Schlesinger,9.607704083
19665,John Boorman,7.918586890
19769,David Ayer,56.483362516
19840,Alejandro Amen�bar,22.337391376
19850,Catherine Hardwicke,34.919426044
20412,Michael Anderson,12.268142700
20561,James Gray,11.698200464
20629,George Miller,86.788873672
20657,Cristian Mungiu,9.270133018
20907,Antoine Fuqua,43.703315020
21085,Alex Proyas,53.775949860
21183,Nicolas Winding Refn,35.412782192
21305,Lloyd Bacon,1.933365941
21506,George Sidney,1.320179959
21678,Olivier Assayas,1.301474512
21684,Joon-ho Bong,45.946977615
23393,Barbet Schroeder,11.538016558
23430,Timur Bekmambetov,38.651650667
23590,David LaChapelle,1.623769045
25236,Johnnie To,8.486390114
25598,Paul Greengrass,34.411407232
25950,Jean Paul Rappeneau,1.685973942
26760,Tsui Hark,2.706207037
26767,Ringo Lam,10.115011215
26775,Chia-Liang Liu,15.046611786
26882,Kiyoshi Kurosawa,0.212442994
27436,Costa-Gavras,4.622268438
27875,Alex Van Warmerdam,0.144031003
27977,Leos Carax,9.140935898
29433,Lucio Fulci,8.022122383
29962,King Vidor,4.220033616
30165,Mark Sandrich,3.898498058
30715,Terrence Malick,29.224596739
31211,Clive Barker,22.583833694
31493,Alex Cox,11.353440285
32278,Matt Reeves,78.147230506
32765,Tony Richardson,2.529788971
33485,Ron Underwood,17.105238597
35453,Pierre Morel,38.306126118
36588,Joe Wright,32.144460360
36602,Peter Berg,35.779068470
37618,Andrew Dominik,30.073060989
37948,Brad Anderson,18.722417021
38516,Denys Arcand ,3.030910015
39996,Sidney Lumet,17.037985365
40199,Anthony Mann,4.229941845
41039,Judd Apatow,38.480917740
42994,David Dobkin,23.740079284
43141,Pete Travis,41.268348694
43652,Takashi Yamazaki,5.158067226
43993,Christophe Barratier,20.982454300
45052,Anton Corbijn,18.899274508
45459,Mike Cahill,31.479046822
47506,Drew Goddard,73.987777710
49555,Petter N�ss,2.526355982
52443,Jason Reitman,23.273149109
52479,Eli Craig,19.940244675
52842,Garth Jennings,51.742065430
53767,Roger Vadim,14.171758652
54472,Martin McDonagh,28.817973137
54525,jaume balaguero,17.377544284
54733,Greg Mottola,32.188460668
55189,Bruce McDonald,4.680205822
55252,Tim Miller,514.569946289
55520,Nae Caranfil,9.159264565
55710,Adam McKay,30.827280998
56194,Paolo Sorrentino,32.523574829
56198,Ari Folman,14.082509995
56205,Atom Egoyan,7.556991527
56349,Victor Salva,16.895828565
56512,Tarsem Singh,44.388672829
56911,Les Mayfield,10.276959038
57113,Dan Gilroy,89.095535278
57207,Tony Jaa,9.029488564
57214,Prachya Pinkaew,11.818320274
57270,Robert Schwentke,56.707780838
57581,Neil Marshall,22.553352356
58137,Chris Noonan,21.376441479
58245,Don Coscarelli,7.111995379
58324,Jean-Fran�ois Richet,18.706504822
58552,Burr Steers,26.196285009
59026,Peyton Reed,51.237115145
59291,Alexandre Aja,20.794805765
59521,Jaume Collet-Serra,50.644900322
61069,Miguel Arteta,11.295066881
