100	956
10003	13015
100042	7395
10008	61921
10012	5140
10013	1776
10014	62020
10016	11770
10017	56173
10022	20739
10024	11151
100241	1707
10025	18281
10027	18865
100275	1024216
10028	62116
10029	36602
10030	1098
10034	141450
10040	58072
100402	19271
10045	35453
10047	59
10048	18878
10050	62514
10052	4499
10053	12786
10054	2294
10060	53334
10061	11770
10065	62721
10066	59521
10067	53177
10068	7270
10069	62768
10070	62797
10071	59410
10072	26713
10073	35694
10074	62854
10075	62872
10077	37710
10090	59413
10092	55075
10096	17046
100975	1206
10105	63477
10115	53014
10117	63709
101173	5469
101179	145045
101267	1027017
101299	10943
10131	16938
10132	1152
10133	5877
10135	63943
10136	12964
10137	18898
10138	15277
10139	5216
10140	10781
10147	17447
10152	58868
10153	8246
10154	64030
10156	14639
10159	36602
10160	2042
10162	64045
10163	57090
10167	27005
10179	59023
1018	5602
10183	64131
10184	29009
10185	45996
10186	57630
10187	64139
10188	64140
10189	64141
10191	66193
10192	64151
10193	8
10195	11181
10196	11614
10197	17633
10198	15810
10199	64152
10200	55499
10201	59026
10202	20739
10204	57370
10207	46085
10208	49903
10212	42617
10214	64191
10215	7791
10217	56205
10218	11694
10219	33433
10220	21053
10223	7623
10225	63550
10226	59291
10229	20739
102362	19346
10238	6648
102382	87742
1024	108
10246	12698
10253	64331
102651	1032536
10269	10400
10279	5281
10280	64796
10281	64722
10283	64735
10285	64743
10288	64754
102899	59026
103	1032
10306	33094
10307	11809
10312	4499
10313	31511
10314	64815
10315	5655
10316	1461
10317	64141
10320	26875
10327	76247
10329	664
10330	54050
10331	14999
103328	27977
10333	10400
10336	87130
103370	80602
10339	6593
10350	20305
10353	64909
10357	8843
10358	19303
10362	20561
103620	64211
10364	5342
10366	18889
103663	4453
10368	24657
103731	71872
10375	33254
10377	21217
10383	492
10384	1723
10385	3092
10386	7087
10388	1884
10390	7623
103903	107039
10391	26713
10393	26502
10395	5342
10397	9168
10398	5696
104	1071
10400	13563
10402	64151
10410	518
10413	57895
10414	18356
10416	5342
10425	27846
10426	65133
10428	1978
10431	65190
10436	1032
10437	65298
10439	65310
10445	4786
10448	8300
10461	56435
10468	31024
10471	52112
10472	65627
104755	16848
10476	53267
10477	16938
10478	4037
10480	58689
10481	15775
10483	4014
10488	66218
104896	40220
10490	59412
10496	65420
105	24
10501	27005
1051	15175
10514	1744
10521	17046
10523	1152
10527	18863
10528	956
10530	65530
10533	8965
10534	578
10535	65548
10537	1152
10545	62047
10549	11181
10550	65615
10555	12058
10557	65865
10559	17812
10560	55476
10563	66039
10564	34481
10567	65855
10569	1243
10571	64815
10577	27226
10585	64796
10586	2042
105864	21198
10588	5133
10589	11091
10590	2460
10591	65734
10592	17812
106	1090
10603	54967
10610	64901
10611	20400
10615	52849
10622	62410
10623	10765
10625	54050
10628	48980
10629	5572
10632	15175
10634	37932
10637	52358
10641	6720
10642	57434
10643	50651
10646	50942
10647	51984
10655	66088
10656	59
10658	686
10661	17494
10663	57370
10664	54525
10673	1152
10674	66190
106747	2294
10676	11777
10678	20739
10681	7
10683	66605
10684	9181
106845	1040955
10685	66604
10691	57082
10696	6198
107	956
10705	11181
10707	5656
10708	52112
10710	8246
10712	16863
10715	4600
10718	66823
10719	15277
10724	190
10727	66739
1073	11676
10731	5572
107315	1041549
10733	54040
10734	14773
10735	66960
10739	1243
10740	66728
10741	2880
10743	15890
10744	19000
10748	21677
10756	18898
10758	66496
10760	54597
10761	66548
10762	32593
10764	12995
10765	34611
10771	66654
10773	3224
10774	39996
10776	7908
10781	66739
107811	52114
10782	1090
10783	9248
107846	29605
10786	10586
10796	57134
107985	11090
10800	66856
10802	10491
10803	20412
10806	7908
10808	52112
10822	66983
10833	58178
108346	231521
10844	67106
10858	1152
10861	26767
10865	62047
10866	21053
10871	7671
10873	17279
10876	648
10877	10765
10878	17494
1088	15287
10885	67316
10890	8858
10894	51534
10895	11426
1090	15361
109091	578
1091	11770
10913	4453
10914	69168
10923	21981
10925	5045
10929	58403
10930	19069
10934	36805
10935	12114
109410	4723
109414	19274
109417	1046142
109418	17494
109421	1884
109424	25598
